TS3±T3±TS7±T7±TS10±T10
0.0±46.15384615384615±71.98275862068965±63.934426229508205±61.67400881057269±61.23348017621145
0.0±0.0±40.119760479041915±3.9473684210526354±20.118343195266274±61.88118811881188
81.53347732181425±92.31770833333334±87.95328826060233±89.90280777537797±93.80823564773068±86.58034137728076
82.91746641074856±90.524379024839±84.25841674249317±96.58314350797266±92.84487693188322±93.95017793594306
34.41295546558704±51.78571428571429±37.75100401606426±75.37878787878788±33.76068376068376±75.20661157024794
83.02796528447445±98.48637739656913±96.91417550626808±100.0±94.0212150433944±100.0
57.93991416309014±85.51236749116607±63.05818673883626±92.36947791164658±79.24528301886792±94.9421965317919
13.636363636363638±54.83870967741936±25.43103448275863±90.47619047619048±56.41025641025641±77.97356828193833
54.3233082706767±88.33034111310593±62.7677100494234±98.00664451827244±86.19756427604872±95.08357915437561
75.36231884057972±87.61061946902655±15.873015873015875±100.0±80.64516129032259±98.4126984126984
64.51612903225806±97.13423831070891±57.8221588207323±96.30681818181817±74.04921700223713±92.33004067402672
54.73411154345007±92.7905701754386±61.118224498506194±99.56470785200068±88.31877729257641±99.88584474885845
0.0±60.95890410958904±0.0±81.34715025906736±0.9132420091324209±75.88652482269505
58.57400722021661±90.43545878693622±77.22602739726027±96.05172015700761±72.92594091460947±91.84184184184184
77.8512044340226±90.08684600720186±86.10760823875577±90.2722926626481±84.44533762057877±96.17520049352251
79.7768162149852±80.86976636594957±87.26322664924886±96.20253164556961±91.6454705537077±98.48750199012896
92.14391591429725±99.24993302973479±90.23124814705011±97.44102359056377±95.21496929010141±99.55260303687635
12.008281573498964±85.08403361344537±0.0±82.73092369477912±25.661914460285136±93.84328358208954
48.167539267015705±38.811188811188806±6.6350710900474±52.9126213592233±59.934138309549944±82.37347294938918
68.95973154362416±18.289085545722713±28.355704697986578±78.98894154818325±42.4731182795699±35.865724381625434
7.843137254901968±63.96694214876033±0.0±74.27536231884058±0.0±81.65784832451499
49.86577181208054±100.0±55.06849315068493±60.06993006993007±100.0±92.40677966101694
0.22099447513812173±66.17977528089887±37.72020725388601±82.97142857142858±37.32620320855616±88.86986301369862
63.116883116883116±90.64864864864865±61.81818181818183±97.90448343079922±76.27045650301464±96.99316628701595
65.30944625407166±87.1536523929471±74.05405405405405±86.70091324200912±63.32803391626921±91.5340909090909
0.0±48.5207100591716±38.206278026905835±0.0±34.740545294635005±71.73913043478261
28.39506172839506±83.78378378378379±66.55948553054662±100.0±100.0±100.0
59.6401028277635±100.0±44.281524926686224±100.0±100.0±100.0
10.194174757281548±100.0±100.0±100.0±100.0±100.0
45.671416495283395±75.50081379362574±53.74402914033539±82.21861018285095±67.10251700137414±87.40368133484391
39.76976368073767±72.23671143067614±63.889997491149764±76.86870118788812±71.5347293868892±85.77236810277684
50.466509407101796±78.15289696352227±45.50042985529872±86.56541124125823±63.50134443814316±88.72912333589842
