Lunation,New Moon,New Moon.1,First Quarter,First Quarter.1,Full Moon,Full Moon.1,Third Quarter,Third Quarter.1,Duration
74,,,,,,,2 de Jan,15:44,29d 19h 22m
75,10 de Jan,21:28,18 de Jan,12:14,25 de Jan,04:08,1 de Fev,11:10,29d 17h 27m
76,9 de Fev,14:55,16 de Fev,21:22,23 de Fev,15:58,3 de Mar,08:09,29d 14h 41m
77,11 de Mar,05:36,18 de Mar,04:41,25 de Mar,04:46,2 de Abr,04:28,29d 11h 56m
78,9 de Abr,17:32,16 de Abr,11:09,23 de Abr,18:47,1 de Mai,22:25,29d 9h 35m
79,9 de Mai,03:07,15 de Mai,17:55,23 de Mai,09:49,31 de Mai,13:12,29d 7h 49m
80,7 de Jun,10:56,14 de Jun,02:14,22 de Jun,01:14,30 de Jun,00:53,29d 6h 51m
81,6 de Jul,17:46,13 de Jul,13:04,21 de Jul,16:20,29 de Jul,09:55,29d 6h 53m
82,5 de Ago,00:39,12 de Ago,03:01,20 de Ago,06:42,27 de Ago,17:01,29d 8h 07m
83,3 de Set,08:47,10 de Set,19:57,18 de Set,20:15,25 de Set,23:06,29d 10h 32m
84,2 de Out,19:19,10 de Out,15:05,18 de Out,09:05,25 de Out,05:21,29d 13h 42m
85,1 de Nov,09:00,9 de Nov,11:09,16 de Nov,21:14,23 de Nov,13:04,29d 16h 48m
86,1 de Dez,01:48,9 de Dez,06:41,16 de Dez,08:38,22 de Dez,23:27,29d 18h 53m
87,30 de Dez,20:41,,,,,,,29d 19h 26m
* All times are local time for São Paulo. They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local time for São Paulo. They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local time for São Paulo. They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local time for São Paulo. They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local time for São Paulo. They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local time for São Paulo. They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local time for São Paulo. They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local time for São Paulo. They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local time for São Paulo. They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local time for São Paulo. They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.
