Lunation,New Moon,New Moon.1,First Quarter,First Quarter.1,Full Moon,Full Moon.1,Third Quarter,Third Quarter.1,Duration
755,3 de Jan,02:15,11 de Jan,06:48,18 de Jan,11:05,25 de Jan,01:47,29d 18h 31m
756,1 de Fev,20:46,10 de Fev,00:59,16 de Fev,21:41,23 de Fev,14:11,29d 18h 44m
757,2 de Mar,15:30,10 de Mar,15:27,17 de Mar,07:09,24 de Mar,04:58,29d 17h 39m
758,1 de Abr,09:09,9 de Abr,01:51,15 de Abr,16:10,22 de Abr,21:26,29d 15h 36m
759,1 de Mai,00:45,8 de Mai,08:49,15 de Mai,01:28,22 de Mai,14:44,29d 13h 03m
760,30 de Mai,13:47,6 de Jun,13:41,13 de Jun,11:41,21 de Jun,08:09,29d 10h 31m
761,29 de Jun,00:18,5 de Jul,18:04,12 de Jul,23:19,21 de Jul,01:01,29d 8h 33m
762,28 de Jul,08:51,3 de Ago,23:32,11 de Ago,12:43,19 de Ago,16:40,29d 7h 34m
763,26 de Ago,16:25,2 de Set,07:29,10 de Set,04:01,18 de Set,06:30,29d 7h 45m
764,25 de Set,00:10,1 de Out,18:52,9 de Out,20:58,17 de Out,18:13,29d 8h 58m
765,24 de Out,09:08,31 de Out,10:07,8 de Nov,14:42,16 de Nov,03:59,29d 10h 49m
766,22 de Nov,19:56,30 de Nov,05:00,8 de Dez,07:53,15 de Dez,12:25,29d 12h 50m
767,22 de Dez,08:46,30 de Dez,02:27,,,,,29d 14h 42m
* All times are local time for São Paulo. They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local time for São Paulo. They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local time for São Paulo. They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local time for São Paulo. They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local time for São Paulo. They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local time for São Paulo. They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local time for São Paulo. They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local time for São Paulo. They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local time for São Paulo. They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local time for São Paulo. They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.
