Lunation,New Moon,New Moon.1,First Quarter,First Quarter.1,Full Moon,Full Moon.1,Third Quarter,Third Quarter.1,Duration
-680,,,3 de Jan,00:56,9 de Jan,19:46,16 de Jan,13:57,29d 19h 39m
-679,24 de Jan,16:11,1 de Fev,15:09,8 de Fev,06:29,15 de Fev,06:10,29d 19h 02m
-678,23 de Fev,11:14,2 de Mar,01:42,8 de Mar,17:15,16 de Mar,00:22,29d 16h 39m
-677,24 de Mar,03:52,31 de Mar,09:19,7 de Abr,04:10,14 de Abr,19:28,29d 13h 21m
-676,22 de Abr,17:13,29 de Abr,15:11,6 de Mai,15:30,14 de Mai,14:08,29d 10h 16m
-675,22 de Mai,03:29,28 de Mai,20:35,5 de Jun,03:48,13 de Jun,07:07,29d 8h 09m
-674,20 de Jun,11:38,27 de Jun,02:44,4 de Jul,17:33,12 de Jul,21:34,29d 7h 11m
-673,19 de Jul,18:50,26 de Jul,10:45,3 de Ago,08:45,11 de Ago,09:21,29d 7h 15m
-672,18 de Ago,02:05,24 de Ago,21:40,2 de Set,00:51,9 de Set,18:57,29d 8h 08m
-671,16 de Set,10:13,23 de Set,12:15,1 de Out,16:51,9 de Out,03:07,29d 9h 42m
-670,15 de Out,19:54,23 de Out,06:35,31 de Out,07:58,7 de Nov,10:40,29d 11h 54m
-669,14 de Nov,07:49,22 de Nov,03:40,29 de Nov,21:54,6 de Dez,18:27,29d 14h 38m
-668,13 de Dez,22:26,22 de Dez,01:21,29 de Dez,10:41,,,29d 17h 20m
* All times are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.
