Lunation,New Moon,New Moon.1,First Quarter,First Quarter.1,Full Moon,Full Moon.1,Third Quarter,Third Quarter.1,Duration
-396,,,,,,,3 de Jan,07:05,29d 12h 14m
-395,10 de Jan,12:18,17 de Jan,03:11,24 de Jan,21:18,2 de Fev,01:35,29d 10h 48m
-394,8 de Fev,23:05,15 de Fev,15:23,23 de Fev,16:11,3 de Mar,16:31,29d 9h 38m
-393,10 de Mar,08:44,17 de Mar,06:03,25 de Mar,10:05,2 de Abr,03:23,29d 9h 06m
-392,8 de Abr,17:50,15 de Abr,22:33,24 de Abr,01:58,1 de Mai,10:44,29d 9h 19m
-391,8 de Mai,03:09,15 de Mai,15:57,23 de Mai,15:19,30 de Mai,15:48,29d 10h 11m
-390,6 de Jun,13:19,14 de Jun,09:27,22 de Jun,02:05,28 de Jun,20:09,29d 11h 32m
-389,6 de Jul,00:52,14 de Jul,02:22,21 de Jul,10:47,28 de Jul,01:26,29d 13h 14m
-388,4 de Ago,14:05,12 de Ago,18:05,19 de Ago,18:21,26 de Ago,09:02,29d 15h 04m
-387,3 de Set,05:09,11 de Set,08:01,18 de Set,01:57,24 de Set,20:00,29d 16h 42m
-386,2 de Out,21:51,10 de Out,19:50,17 de Out,10:38,24 de Out,10:49,29d 17h 35m
-385,1 de Nov,15:26,9 de Nov,05:40,15 de Nov,21:09,23 de Nov,05:19,29d 17h 12m
-384,1 de Dez,08:38,8 de Dez,14:06,15 de Dez,09:46,23 de Dez,02:32,29d 15h 35m
-383,31 de Dez,00:13,,,,,,,29d 13h 19m
* All times are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.
