Lunation,New Moon,New Moon.1,First Quarter,First Quarter.1,Full Moon,Full Moon.1,Third Quarter,Third Quarter.1,Duration
-74,,,,,8 de Jan,04:41,16 de Jan,08:41,29d 11h 09m
-73,23 de Jan,04:39,29 de Jan,22:01,7 de Fev,00:28,14 de Fev,22:52,29d 10h 29m
-72,21 de Fev,15:08,28 de Fev,13:43,8 de Mar,18:57,16 de Mar,09:32,29d 9h 56m
-71,23 de Mar,01:04,30 de Mar,07:35,7 de Abr,10:48,14 de Abr,17:11,29d 9h 56m
-70,21 de Abr,11:00,29 de Abr,02:21,6 de Mai,23:42,13 de Mai,22:47,29d 10h 45m
-69,20 de Mai,21:46,28 de Mai,20:33,5 de Jun,10:06,12 de Jun,03:38,29d 12h 15m
-68,19 de Jun,10:01,27 de Jun,13:07,4 de Jul,18:40,11 de Jul,09:11,29d 13h 58m
-67,18 de Jul,23:59,27 de Jul,03:39,3 de Ago,02:10,9 de Ago,16:56,29d 15h 21m
-66,17 de Ago,15:20,25 de Ago,16:07,1 de Set,09:28,8 de Set,04:04,29d 16h 06m
-65,16 de Set,07:26,24 de Set,02:40,30 de Set,17:30,7 de Out,19:13,29d 16h 14m
-64,15 de Out,23:40,23 de Out,11:37,30 de Out,03:18,6 de Nov,14:03,29d 15h 48m
-63,14 de Nov,15:28,21 de Nov,19:28,28 de Nov,15:40,6 de Dez,11:13,29d 14h 49m
-62,14 de Dez,06:17,21 de Dez,03:07,28 de Dez,06:51,,,29d 13h 18m
* All times are local time for São Paulo. They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local time for São Paulo. They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local time for São Paulo. They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local time for São Paulo. They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local time for São Paulo. They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local time for São Paulo. They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local time for São Paulo. They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local time for São Paulo. They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local time for São Paulo. They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local time for São Paulo. They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.
