New Moon,First Quarter,Full Moon,Third Quarter
1804-11-02T00:00:00,1804-11-10T00:00:00,1804-11-17T00:00:00,1804-11-24T00:00:00
1804-12-02T00:00:00,1804-12-10T00:00:00,1804-12-16T00:00:00,1804-12-23T00:00:00
1804-12-31T00:00:00,None,None,None
None,1805-01-08T00:00:00,1805-01-15T00:00:00,1805-01-22T00:00:00
1805-01-30T00:00:00,1805-02-06T00:00:00,1805-02-13T00:00:00,1805-02-21T00:00:00
1805-03-01T00:00:00,1805-03-08T00:00:00,1805-03-15T00:00:00,1805-03-23T00:00:00
1805-03-30T00:00:00,1805-04-06T00:00:00,1805-04-13T00:00:00,1805-04-21T00:00:00
1805-04-29T00:00:00,1805-05-05T00:00:00,1805-05-13T00:00:00,1805-05-21T00:00:00
1805-05-28T00:00:00,1805-06-04T00:00:00,1805-06-12T00:00:00,1805-06-20T00:00:00
1805-06-26T00:00:00,1805-07-03T00:00:00,1805-07-11T00:00:00,1805-07-19T00:00:00
1805-07-26T00:00:00,1805-08-02T00:00:00,1805-08-10T00:00:00,1805-08-17T00:00:00
1805-08-24T00:00:00,1805-08-31T00:00:00,1805-09-08T00:00:00,1805-09-16T00:00:00
1805-09-22T00:00:00,1805-09-30T00:00:00,1805-10-08T00:00:00,1805-10-15T00:00:00
1805-10-22T00:00:00,1805-10-30T00:00:00,1805-11-06T00:00:00,1805-11-13T00:00:00
1805-11-21T00:00:00,1805-11-29T00:00:00,1805-12-06T00:00:00,1805-12-13T00:00:00
1805-12-20T00:00:00,1805-12-29T00:00:00,None,None
None,None,1806-01-04T00:00:00,1806-01-11T00:00:00
1806-01-19T00:00:00,1806-01-27T00:00:00,1806-02-03T00:00:00,1806-02-10T00:00:00
1806-02-18T00:00:00,1806-02-26T00:00:00,1806-03-04T00:00:00,1806-03-12T00:00:00
1806-03-20T00:00:00,1806-03-27T00:00:00,1806-04-03T00:00:00,1806-04-10T00:00:00
1806-04-18T00:00:00,1806-04-25T00:00:00,1806-05-02T00:00:00,1806-05-10T00:00:00
