Lunation,New Moon,New Moon.1,First Quarter,First Quarter.1,Full Moon,Full Moon.1,Third Quarter,Third Quarter.1,Duration
260,,,2 de Jan,17:04,10 de Jan,07:09,18 de Jan,12:31,29d 11h 34m
261,25 de Jan,12:24,1 de Fev,04:08,9 de Fev,02:29,17 de Fev,04:41,29d 10h 35m
262,23 de Fev,22:58,1 de Mar,17:40,9 de Mar,21:27,17 de Mar,17:04,29d 9h 37m
263,24 de Mar,08:36,31 de Mar,09:34,8 de Abr,14:21,16 de Abr,01:58,29d 9h 07m
264,22 de Abr,17:43,30 de Abr,03:06,8 de Mai,04:28,15 de Mai,08:12,29d 9h 29m
265,22 de Mai,03:12,29 de Mai,21:06,6 de Jun,15:57,13 de Jun,12:56,29d 10h 47m
266,20 de Jun,13:59,28 de Jun,14:26,6 de Jul,01:26,12 de Jul,17:38,29d 12h 43m
267,20 de Jul,02:42,28 de Jul,06:23,4 de Ago,09:39,10 de Ago,23:51,29d 14h 42m
268,18 de Ago,17:24,26 de Ago,20:38,2 de Set,17:20,9 de Set,09:02,29d 16h 13m
269,17 de Set,09:37,25 de Set,09:07,2 de Out,01:21,8 de Out,22:11,29d 16h 57m
270,17 de Out,02:34,24 de Out,19:48,31 de Out,10:35,7 de Nov,15:28,29d 16h 54m
271,15 de Nov,19:29,23 de Nov,04:52,29 de Nov,21:51,7 de Dez,11:56,29d 16h 05m
272,15 de Dez,11:34,22 de Dez,12:53,29 de Dez,11:38,,,29d 14h 32m
* All times are local time for São Paulo. They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local time for São Paulo. They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local time for São Paulo. They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local time for São Paulo. They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local time for São Paulo. They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local time for São Paulo. They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local time for São Paulo. They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local time for São Paulo. They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local time for São Paulo. They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local time for São Paulo. They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.
