Lunation,New Moon,New Moon.1,First Quarter,First Quarter.1,Full Moon,Full Moon.1,Third Quarter,Third Quarter.1,Duration
-123,7 de Jan,07:21,15 de Jan,12:54,22 de Jan,12:33,29 de Jan,04:27,29d 18h 53m
-122,6 de Fev,02:15,14 de Fev,05:27,20 de Fev,22:56,27 de Fev,18:08,29d 19h 01m
-121,7 de Mar,21:15,15 de Mar,17:51,22 de Mar,08:49,29 de Mar,09:50,29d 17h 26m
-120,6 de Abr,14:41,14 de Abr,02:32,20 de Abr,18:25,28 de Abr,03:02,29d 14h 36m
-119,6 de Mai,05:17,13 de Mai,08:38,20 de Mai,04:11,27 de Mai,20:56,29d 11h 33m
-118,4 de Jun,16:50,11 de Jun,13:30,18 de Jun,14:46,26 de Jun,14:33,29d 9h 09m
-117,4 de Jul,01:59,10 de Jul,18:30,18 de Jul,02:59,26 de Jul,06:51,29d 7h 52m
-116,2 de Ago,09:51,9 de Ago,00:56,16 de Ago,17:20,24 de Ago,21:11,29d 7h 40m
-115,31 de Ago,17:31,7 de Set,09:58,15 de Set,09:39,23 de Set,09:23,29d 8h 19m
-114,30 de Set,01:50,6 de Out,22:39,15 de Out,02:59,22 de Out,19:46,29d 9h 32m
-113,29 de Out,11:22,5 de Nov,15:27,13 de Nov,20:04,21 de Nov,04:49,29d 11h 12m
-112,27 de Nov,22:34,5 de Dez,11:51,13 de Dez,11:53,20 de Dez,13:08,29d 13h 17m
-111,27 de Dez,11:51,,,,,,,29d 15h 35m
* Times until 27 de Dez de 1913 are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* Times until 27 de Dez de 1913 are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* Times until 27 de Dez de 1913 are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* Times until 27 de Dez de 1913 are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* Times until 27 de Dez de 1913 are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* Times until 27 de Dez de 1913 are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* Times until 27 de Dez de 1913 are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* Times until 27 de Dez de 1913 are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* Times until 27 de Dez de 1913 are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* Times until 27 de Dez de 1913 are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.
