Lunation,New Moon,New Moon.1,First Quarter,First Quarter.1,Full Moon,Full Moon.1,Third Quarter,Third Quarter.1,Duration
-111,,,4 de Jan,10:08,12 de Jan,02:08,18 de Jan,21:29,29d 15h 35m
-110,26 de Jan,03:33,3 de Fev,07:32,10 de Fev,14:34,17 de Fev,06:22,29d 17h 28m
-109,24 de Fev,21:01,5 de Mar,02:02,12 de Mar,01:18,18 de Mar,16:39,29d 18h 07m
-108,26 de Mar,15:08,3 de Abr,16:41,10 de Abr,10:27,17 de Abr,04:51,29d 17h 12m
-107,25 de Abr,08:21,3 de Mai,03:28,9 de Mai,18:30,16 de Mai,19:11,29d 15h 13m
-106,24 de Mai,23:34,1 de Jun,11:02,8 de Jun,02:18,15 de Jun,11:19,29d 12h 58m
-105,23 de Jun,12:32,30 de Jun,16:24,7 de Jul,10:59,15 de Jul,04:31,29d 11h 05m
-104,22 de Jul,23:38,29 de Jul,20:50,5 de Ago,21:40,13 de Ago,21:55,29d 9h 48m
-103,21 de Ago,09:26,28 de Ago,01:52,4 de Set,11:00,12 de Set,14:47,29d 9h 07m
-102,19 de Set,18:33,26 de Set,09:02,4 de Out,02:58,12 de Out,06:32,29d 9h 00m
-101,19 de Out,03:33,25 de Out,19:43,2 de Nov,20:48,10 de Nov,20:36,29d 9h 28m
-100,17 de Nov,13:01,24 de Nov,10:38,2 de Dez,15:20,10 de Dez,08:31,29d 10h 33m
-99,16 de Dez,23:34,24 de Dez,05:24,,,,,29d 12h 07m
* Times until 27 de Dez de 1913 are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* Times until 27 de Dez de 1913 are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* Times until 27 de Dez de 1913 are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* Times until 27 de Dez de 1913 are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* Times until 27 de Dez de 1913 are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* Times until 27 de Dez de 1913 are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* Times until 27 de Dez de 1913 are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* Times until 27 de Dez de 1913 are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* Times until 27 de Dez de 1913 are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* Times until 27 de Dez de 1913 are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.
