Lunation,New Moon,New Moon.1,First Quarter,First Quarter.1,Full Moon,Full Moon.1,Third Quarter,Third Quarter.1,Duration
569,,,,,3 de Jan,15:27,11 de Jan,11:00,29d 10h 40m
570,18 de Jan,01:58,25 de Jan,05:23,2 de Fev,09:55,9 de Fev,21:08,29d 11h 26m
571,16 de Fev,13:25,24 de Fev,01:30,4 de Mar,02:17,11 de Mar,04:44,29d 12h 26m
572,18 de Mar,01:51,25 de Mar,21:48,2 de Abr,15:44,9 de Abr,10:58,29d 13h 24m
573,16 de Abr,15:15,24 de Abr,16:44,2 de Mai,02:13,8 de Mai,17:11,29d 14h 10m
574,16 de Mai,05:25,24 de Mai,09:14,31 de Mai,10:18,7 de Jun,00:39,29d 14h 43m
575,14 de Jun,20:08,22 de Jun,22:44,29 de Jun,17:03,6 de Jul,10:16,29d 15h 03m
576,14 de Jul,11:11,22 de Jul,09:09,28 de Jul,23:45,4 de Ago,22:38,29d 15h 05m
577,13 de Ago,02:16,20 de Ago,17:02,27 de Ago,07:32,3 de Set,13:57,29d 14h 39m
578,11 de Set,16:55,18 de Set,23:24,25 de Set,17:20,3 de Out,08:04,29d 13h 43m
579,11 de Out,06:39,18 de Out,05:31,25 de Out,05:44,2 de Nov,04:13,29d 12h 32m
580,9 de Nov,19:11,16 de Nov,12:44,23 de Nov,20:53,2 de Dez,00:50,29d 11h 31m
581,9 de Dez,06:41,15 de Dez,22:09,23 de Dez,14:34,31 de Dez,19:52,29d 10h 54m
* All times are local time for São Paulo. They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local time for São Paulo. They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local time for São Paulo. They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local time for São Paulo. They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local time for São Paulo. They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local time for São Paulo. They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local time for São Paulo. They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local time for São Paulo. They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local time for São Paulo. They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local time for São Paulo. They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.
