Lunation,New Moon,New Moon.1,First Quarter,First Quarter.1,Full Moon,Full Moon.1,Third Quarter,Third Quarter.1,Duration
-198,,,,,,,7 de Jan,11:40,29d 11h 03m
-197,14 de Jan,02:50,21 de Jan,05:35,29 de Jan,10:38,5 de Fev,21:45,29d 11h 46m
-196,12 de Fev,14:36,20 de Fev,01:28,28 de Fev,03:16,7 de Mar,05:35,29d 12h 22m
-195,14 de Mar,02:58,21 de Mar,22:03,29 de Mar,16:37,5 de Abr,12:14,29d 13h 01m
-194,12 de Abr,15:59,20 de Abr,17:31,28 de Abr,02:58,4 de Mai,18:46,29d 13h 53m
-193,12 de Mai,05:52,20 de Mai,10:20,27 de Mai,11:11,3 de Jun,02:13,29d 14h 51m
-192,10 de Jun,20:43,18 de Jun,23:48,25 de Jun,18:20,2 de Jul,11:27,29d 15h 27m
-191,10 de Jul,12:10,18 de Jul,10:04,25 de Jul,01:22,31 de Jul,23:19,29d 15h 19m
-190,9 de Ago,03:29,16 de Ago,17:58,23 de Ago,09:08,30 de Ago,14:21,29d 14h 27m
-189,7 de Set,17:57,15 de Set,00:33,21 de Set,18:27,29 de Set,08:30,29d 13h 17m
-188,7 de Out,07:13,14 de Out,06:55,21 de Out,06:10,29 de Out,04:44,29d 12h 18m
-187,5 de Nov,19:32,12 de Nov,14:07,19 de Nov,20:57,28 de Nov,01:14,29d 11h 44m
-186,5 de Dez,07:15,11 de Dez,23:09,19 de Dez,14:48,27 de Dez,20:03,29d 11h 21m
* All times are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.
