Lunation,New Moon,New Moon.1,First Quarter,First Quarter.1,Full Moon,Full Moon.1,Third Quarter,Third Quarter.1,Duration
-668,,,,,,,5 de Jan,03:16,29d 17h 20m
-667,12 de Jan,15:46,20 de Jan,21:20,27 de Jan,22:23,3 de Fev,13:49,29d 19h 01m
-666,11 de Fev,10:47,19 de Fev,13:59,26 de Fev,08:58,5 de Mar,02:36,29d 18h 53m
-665,13 de Mar,05:40,21 de Mar,02:47,27 de Mar,18:26,3 de Abr,17:41,29d 17h 01m
-664,11 de Abr,22:41,19 de Abr,11:59,26 de Abr,03:15,3 de Mai,10:34,29d 14h 20m
-663,11 de Mai,13:00,18 de Mai,18:23,25 de Mai,12:16,2 de Jun,04:15,29d 11h 45m
-662,10 de Jun,00:45,16 de Jun,23:08,23 de Jun,22:32,1 de Jul,21:39,29d 9h 46m
-661,9 de Jul,10:31,16 de Jul,03:41,23 de Jul,10:48,31 de Jul,14:00,29d 8h 30m
-660,7 de Ago,19:01,14 de Ago,09:34,22 de Ago,01:17,30 de Ago,04:51,29d 7h 59m
-659,6 de Set,03:00,12 de Set,18:16,20 de Set,17:34,28 de Set,18:03,29d 8h 13m
-658,5 de Out,11:13,12 de Out,06:56,20 de Out,10:51,28 de Out,05:28,29d 9h 16m
-657,3 de Nov,20:29,10 de Nov,23:49,19 de Nov,04:11,26 de Nov,15:07,29d 11h 06m
-656,3 de Dez,07:34,10 de Dez,20:05,18 de Dez,20:43,25 de Dez,23:27,29d 13h 24m
* All times are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.,* All times are local mean solar time for São Paulo (UTC -3:06:28 hours). They take into account refraction. Dates are based on the Gregorian calendar. Current lunation cycle is highlighted yellow. Special events are highlighted blue. Hover over events for more details.
